id,label
0,train
1,test
2,train
3,val
4,test
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,test
14,val
15,train
16,train
17,train
18,train
19,test
20,train
21,val
22,train
23,train
24,test
25,train
26,train
27,train
28,train
29,test
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,test
54,train
55,train
56,test
57,train
58,train
59,train
60,train
61,train
62,val
63,train
64,train
65,train
66,val
67,train
68,test
69,train
70,train
71,val
72,train
73,test
74,train
75,train
76,test
77,train
78,train
79,val
80,train
81,train
82,train
83,test
84,train
85,train
86,test
87,val
88,train
89,val
90,train
91,val
92,train
93,train
94,val
95,train
96,train
97,train
98,train
99,train
100,train
101,val
102,train
103,train
104,train
105,train
106,val
107,train
108,val
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,test
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,val
136,train
137,train
138,train
139,test
140,test
141,val
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,test
150,val
151,train
152,train
153,train
154,train
155,train
156,val
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,val
166,train
167,train
168,train
169,train
170,test
171,train
172,test
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,val
185,train
186,train
187,train
188,val
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,val
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,val
208,train
209,train
210,train
211,test
212,train
213,test
214,train
215,train
216,train
217,train
218,val
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,train
236,train
237,train
238,train
239,train
240,train
241,test
242,val
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,val
254,train
255,train
256,train
257,test
258,val
259,test
260,val
261,test
262,train
263,test
264,train
265,val
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,test
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,train
299,val
300,val
301,test
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,train
312,test
313,train
314,test
315,train
316,train
317,val
318,train
319,train
320,train
321,train
322,test
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,val
335,val
336,train
337,train
338,train
339,train
340,val
341,train
342,val
343,train
344,val
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,test
355,train
356,train
357,test
358,test
359,train
360,train
361,train
362,train
363,train
364,val
365,train
366,train
367,train
368,train
369,train
370,train
371,train
372,test
373,train
374,train
375,train
376,val
377,train
378,val
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,val
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,test
397,train
398,train
399,val
400,val
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,train
411,val
412,train
413,val
414,train
415,train
416,train
417,train
418,train
419,train
420,val
421,train
422,train
423,train
424,train
425,train
426,val
427,train
428,train
429,val
430,train
431,train
432,train
433,train
434,train
435,train
436,test
437,val
438,train
439,test
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,val
454,train
455,train
456,train
457,train
458,train
459,train
460,val
461,train
462,train
463,train
464,train
465,train
466,train
467,train
468,train
469,test
470,train
471,test
472,train
473,train
474,train
475,train
476,test
477,train
478,train
479,train
480,train
481,val
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
491,val
492,train
493,test
494,train
495,test
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,val
504,train
505,train
506,train
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,test
520,train
521,train
522,train
523,train
524,train
525,train
526,test
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,test
540,train
541,val
542,train
543,train
544,train
545,train
546,train
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,val
555,val
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,train
575,train
576,test
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,val
597,train
598,train
599,train
600,train
601,train
602,train
603,train
604,train
605,train
606,train
607,val
608,train
609,train
610,test
611,train
612,val
613,train
614,train
615,train
616,test
617,train
618,train
619,test
620,train
621,val
622,val
623,train
624,train
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,train
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,test
642,val
643,train
644,train
645,train
646,val
647,val
648,val
649,train
650,train
651,train
652,train
653,train
654,train
655,train
656,train
657,train
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,val
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,test
675,train
676,train
677,test
678,train
679,train
680,train
681,train
682,val
683,train
684,train
685,train
686,train
687,train
688,train
689,val
690,train
691,test
692,val
693,train
694,train
695,train
696,train
697,train
698,val
699,train
700,train
701,val
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,val
710,train
711,train
712,test
713,train
714,train
715,train
716,train
717,train
718,train
719,train
720,train
721,val
722,train
723,train
724,val
725,train
726,train
727,train
728,test
729,train
730,train
731,train
732,train
733,test
734,train
735,val
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,train
745,train
746,train
747,train
748,train
749,test
750,train
751,train
752,test
753,train
754,train
755,train
756,train
757,train
758,train
759,test
760,train
761,train
762,train
763,train
764,train
765,train
766,train
767,train
768,train
769,train
770,train
771,test
772,train
773,train
774,train
775,train
776,train
777,train
778,test
779,train
780,train
781,train
782,test
783,train
784,train
785,train
786,train
787,test
788,train
789,train
790,test
791,train
792,train
793,train
794,train
795,test
796,train
797,train
798,train
799,train
800,test
801,train
802,train
803,train
804,val
805,train
806,test
807,train
808,train
809,train
810,train
811,train
812,train
813,train
814,train
